Report_Number,Account,PO_Number,Location_Info_1,Location_Info_2,Location_Info_3,Location_Info_4,Location_Info_5,Farm_Name,Field_Name,Date_Sampled,Date_Received,Date_Reported,Sample_ID,Bag_ID,Crop_Code,Crop_Name,Lab_Number,N_percent_dm,NO3N_percent_dm,P_percent_dm,K_percent_dm,Ca_percent_dm,Mg_percent_dm,Na_percent_dm,S_percent_dm,Zn_ppm_dm,Mn_ppm_dm,Fe_ppm_dm,Cu_ppm_dm,B_ppm_dm,Mo_ppm_dm,Al_ppm_dm,Cl_ppm_dm,C_percent_dm,CN_ratio,Moisture_percent_wet_weight,Wet_Weight_grams,Dry_Weight_grams
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","15-1","15-1","99",Not Provided,"314551","1.89",,"0.35","1.19","0.42","0.52","0.01","0.13","17","27","110","7","8",,"17",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","15-2","15-2","99",Not Provided,"314554","2.03",,"0.43","1.34","0.57","0.60","0.01","0.16","20","41","148","10","10",,"40",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","15-3","15-3","99",Not Provided,"314555","2.55",,"0.34","1.08","0.42","0.49","0.01","0.16","18","32","93","9","9",,"12",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","16-1","16-1","99",Not Provided,"314556","1.91",,"0.31","1.23","0.52","0.51","0.01","0.15","23","33","113","7","7",,"14",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","16-2","16-2","99",Not Provided,"314557","1.79",,"0.33","1.11","0.62","0.57","0.01","0.14","19","30","122","6","8",,"31",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","16-3","16-3","99",Not Provided,"314559","2.33",,"0.29","1.43","0.51","0.39","0.01","0.16","22","33","115","8","10",,"21",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","17-1","17-1","99",Not Provided,"314560","2.93",,"0.31","1.27","0.51","0.56","0.01","0.18","26","46","108","11","10",,"19",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","17-2","17-2","99",Not Provided,"314561","2.85",,"0.31","1.06","0.59","0.60","0.01","0.17","27","42","138","11","10",,"26",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","17-3","17-3","99",Not Provided,"314563","2.83",,"0.36","1.24","0.54","0.63","0.01","0.19","27","50","126","12","11",,"23",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","18-1","18-1","99",Not Provided,"314564","2.88",,"0.29","1.10","0.77","0.57","0.01","0.20","32","52","113","12","10",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","18-2","18-2","99",Not Provided,"314565","3.00",,"0.28","1.15","0.70","0.55","0.01","0.20","33","62","111","12","11",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","18-3","18-3","99",Not Provided,"314566","2.82",,"0.26","1.27","0.62","0.51","0.01","0.19","30","68","120","10","14",,"26",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","19-1","19-1","99",Not Provided,"314567","2.64",,"0.28","0.92","0.71","0.58","0.01","0.16","28","60","101","10","10",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","19-2","19-2","99",Not Provided,"314568","2.50",,"0.27","0.89","0.66","0.57","0.01","0.15","27","57","93","9","9",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","19-3","19-3","99",Not Provided,"314569","2.80",,"0.29","1.05","0.72","0.56","0.01","0.17","30","54","108","11","10",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","20-1","20-1","99",Not Provided,"314570","2.79",,"0.26","1.05","0.48","0.55","0.01","0.17","24","46","101","11","9",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","20-2","20-2","99",Not Provided,"314571","2.62",,"0.28","1.25","0.62","0.67","0.01","0.18","28","41","130","12","11",,"27",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","20-3","20-3","99",Not Provided,"314573","3.05",,"0.27","1.29","0.50","0.53","0.01","0.19","26","57","116","12","11",,"22",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","21-1","21-1","99",Not Provided,"314574","2.85",,"0.36","1.01","0.51","0.59","0.01","0.18","25","40","114","10","10",,"23",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","21-2","21-2","99",Not Provided,"314575","2.75",,"0.30","0.92","0.50","0.56","0.01","0.17","23","46","182","9","9",,"57",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","21-3","21-3","99",Not Provided,"314576","2.83",,"0.34","0.94","0.47","0.59","0.01","0.17","25","44","122","9","10",,"27",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","22-1","22-1","99",Not Provided,"314577","2.72",,"0.30","0.90","0.64","0.54","0.01","0.19","26","47","109","9","10",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","22-2","22-2","99",Not Provided,"314579","2.84",,"0.34","1.00","0.67","0.55","0.01","0.19","30","40","124","11","9",,"30",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","22-3","22-3","99",Not Provided,"314580","2.65",,"0.35","0.99","0.67","0.56","0.01","0.19","27","43","118","10","10",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","23-1","23-1","99",Not Provided,"314582","1.84",,"0.36","1.00","0.55","0.60","0.01","0.14","20","37","95","7","9",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","23-2","23-2","99",Not Provided,"314583","1.69",,"0.38","0.90","0.67","0.59","0.01","0.14","21","41","95","7","8",,"21",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","23-3","23-3","99",Not Provided,"314584","2.00",,"0.41","0.91","0.70","0.64","0.01","0.15","29","43","101","8","9",,"23",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","24-1","24-1","99",Not Provided,"314585","1.86",,"0.33","1.09","0.53","0.57","0.01","0.13","18","27","126","8","8",,"28",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","24-2","24-2","99",Not Provided,"314586","2.14",,"0.32","1.04","0.51","0.60","0.01","0.14","17","26","147","8","8",,"38",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","24-3","24-3","99",Not Provided,"314587","2.50",,"0.31","1.28","0.48","0.49","0.01","0.17","22","26","140","11","9",,"37",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","25-1","25-1","99",Not Provided,"314588","2.62",,"0.32","1.21","0.56","0.50","0.01","0.17","22","44","139","10","12",,"31",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","25-2","25-2","99",Not Provided,"314589","2.64",,"0.32","1.15","0.57","0.56","0.01","0.17","23","41","107","10","9",,"22",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","25-3","25-3","99",Not Provided,"314590","2.67",,"0.34","1.16","0.55","0.59","0.01","0.17","25","48","187","10","10",,"66",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","26-1","26-1","99",Not Provided,"314591","2.23",,"0.26","1.10","0.74","0.56","0.01","0.17","23","46","202","9","8",,"64",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","26-2","26-2","99",Not Provided,"314593","2.35",,"0.24","1.07","0.73","0.57","0.01","0.17","22","48","115","9","8",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","26-3","26-3","99",Not Provided,"314594","2.44",,"0.26","1.10","0.76","0.62","0.01","0.17","26","47","120","9","8",,"26",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","27-1","27-1","99",Not Provided,"314595","2.00",,"0.26","1.11","0.55","0.57","0.01","0.14","17","36","151","7","10",,"46",,,,,,
